summary_x,gameId,gameDate,away,home,awayOdds,homeOdds,date,status,details.seasonType,details.season,details.conferenceGame,details.divisionGame,teams.away.team,teams.away.conference,teams.home.team,teams.home.conference,teams.home.division,venue.name,venue.neutralSite,venue.city,venue.state,scoreboard.score.away,scoreboard.score.home,teams.away.division,scoreboard.score._id,venue.country,week,home_pregame_elo,home_postgame_elo,away_pregame_elo,away_postgame_elo,home_division,away_division,completed,home.offense.plays,home.offense.drives,home.offense.ppa,home.offense.totalPPA,home.offense.successRate,home.offense.explosiveness,home.offense.powerSuccess,home.offense.stuffRate,home.offense.lineYards,home.offense.lineYardsTotal,home.offense.secondLevelYards,home.offense.secondLevelYardsTotal,home.offense.openFieldYards,home.offense.openFieldYardsTotal,home.offense.standardDowns.ppa,home.offense.standardDowns.successRate,home.offense.standardDowns.explosiveness,home.offense.passingDowns.ppa,home.offense.passingDowns.successRate,home.offense.passingDowns.explosiveness,home.offense.rushingPlays.ppa,home.offense.rushingPlays.totalPPA,home.offense.rushingPlays.successRate,home.offense.rushingPlays.explosiveness,home.offense.passingPlays.ppa,home.offense.passingPlays.totalPPA,home.offense.passingPlays.successRate,home.offense.passingPlays.explosiveness,home.defense.plays,home.defense.drives,home.defense.ppa,home.defense.totalPPA,home.defense.successRate,home.defense.explosiveness,home.defense.powerSuccess,home.defense.stuffRate,home.defense.lineYards,home.defense.lineYardsTotal,home.defense.secondLevelYards,home.defense.secondLevelYardsTotal,home.defense.openFieldYards,home.defense.openFieldYardsTotal,home.defense.standardDowns.ppa,home.defense.standardDowns.successRate,home.defense.standardDowns.explosiveness,home.defense.passingDowns.ppa,home.defense.passingDowns.successRate,home.defense.passingDowns.explosiveness,home.defense.rushingPlays.ppa,home.defense.rushingPlays.totalPPA,home.defense.rushingPlays.successRate,home.defense.rushingPlays.explosiveness,home.defense.passingPlays.ppa,home.defense.passingPlays.totalPPA,home.defense.passingPlays.successRate,home.defense.passingPlays.explosiveness,away.offense.plays,away.offense.drives,away.offense.ppa,away.offense.totalPPA,away.offense.successRate,away.offense.explosiveness,away.offense.powerSuccess,away.offense.stuffRate,away.offense.lineYards,away.offense.lineYardsTotal,away.offense.secondLevelYards,away.offense.secondLevelYardsTotal,away.offense.openFieldYards,away.offense.openFieldYardsTotal,away.offense.standardDowns.ppa,away.offense.standardDowns.successRate,away.offense.standardDowns.explosiveness,away.offense.passingDowns.ppa,away.offense.passingDowns.successRate,away.offense.passingDowns.explosiveness,away.offense.rushingPlays.ppa,away.offense.rushingPlays.totalPPA,away.offense.rushingPlays.successRate,away.offense.rushingPlays.explosiveness,away.offense.passingPlays.ppa,away.offense.passingPlays.totalPPA,away.offense.passingPlays.successRate,away.offense.passingPlays.explosiveness,away.defense.plays,away.defense.drives,away.defense.ppa,away.defense.totalPPA,away.defense.successRate,away.defense.explosiveness,away.defense.powerSuccess,away.defense.stuffRate,away.defense.lineYards,away.defense.lineYardsTotal,away.defense.secondLevelYards,away.defense.secondLevelYardsTotal,away.defense.openFieldYards,away.defense.openFieldYardsTotal,away.defense.standardDowns.ppa,away.defense.standardDowns.successRate,away.defense.standardDowns.explosiveness,away.defense.passingDowns.ppa,away.defense.passingDowns.successRate,away.defense.passingDowns.explosiveness,away.defense.rushingPlays.ppa,away.defense.rushingPlays.totalPPA,away.defense.rushingPlays.successRate,away.defense.rushingPlays.explosiveness,away.defense.passingPlays.ppa,away.defense.passingPlays.totalPPA,away.defense.passingPlays.successRate,away.defense.passingPlays.explosiveness,away_cover
2022-Miami (OH) @ Akron,285370,2022-10-29T16:00:00.000Z,-9,9,-120,-100,2022-10-23T20:10:46.357Z,final,regular,2022,TRUE,TRUE,Miami (OH),MAC,Akron,MAC,East,InfoCision Stadium,FALSE,Akron,OH,27,9,East,,,9,930,,1450,,fbs,fbs,,84,12,0.180685734,15.17760167,0.452380952,1.274314337,0.6,0.083333333,3.638888889,131,0.888888889,32,0.194444444,7,0.076161189,0.476190476,1.058275583,0.49425937,0.380952381,2.084459665,0.092307145,3.323057232,0.444444444,0.782022906,0.436916662,20.09816646,0.47826087,1.632344468,63,12,0.30265408,19.06720703,0.412698413,1.363235188,1,0.102564103,3.494871795,136,1.102564103,43,2.435897436,95,0.099665899,0.5,0.777073858,0.655677003,0.260869565,3.317106288,0.22194378,8.655807406,0.384615385,1.224823233,0.433808318,10.41139963,0.458333333,1.551978763,27.6,7,-0.047594061,-1.466713891,0.367272727,1.498241328,0.2,0.355760369,1.777603687,24.6,1.151152074,11,1.056221198,10.8,0.277788501,0.531851852,1.226744461,-0.306590018,0.226086957,2.071556192,0.002851329,-0.496695334,0.25437788,2.491010357,-0.06351675,-0.970018557,0.436491228,1.219690192,35.6,7,0.010620146,1.268183543,0.351082251,1.068264708,0.177777778,0.070980392,2.92854902,56.4,0.715686275,14.2,0.698039216,13.6,0.004710967,0.473333333,0.928049399,0.047911617,0.200854701,1.557577132,0.068794887,2.075231107,0.325098039,1.130796213,-0.025223521,0.085166593,0.385111663,1.033550386,TRUE
2022-Toledo @ Eastern Michigan,285371,2022-10-29T16:00:00.000Z,-9,9,-110,-110,2022-10-23T20:10:46.281Z,final,regular,2022,TRUE,TRUE,Toledo,MAC,Eastern Michigan,MAC,West,Rynearson Stadium,FALSE,Ypsilanti,MI,27,24,West,,,9,1391,,1564,,fbs,fbs,,75,10,0.152950879,11.47131593,0.426666667,1.154286629,1,0.076923077,3.28974359,128,0.846153846,33,0.487179487,19,0.061568765,0.470588235,0.880546605,0.347137873,0.333333333,1.975506704,0.294363699,11.48018426,0.435897436,1.30066968,-0.000246342,-0.008868323,0.416666667,0.988385838,59,9,0.013099939,0.772896411,0.423728814,0.878614034,1,0.0625,3.734375,120,0.9375,30,0.59375,19,-0.125109481,0.468085106,0.621829695,0.554420169,0.25,2.761699184,-0.002052792,-0.065689342,0.4375,0.487401657,0.375428514,9.010284346,0.458333333,1.376520696,75,14,0.068026935,5.102020101,0.373333333,1.224452394,0.666666667,0.194444444,2.811111111,101,1.055555556,38,0.361111111,13,0.088350504,0.44,1.037788147,0.027379796,0.24,1.908887969,0.014516994,0.522611785,0.361111111,0.977544078,0.145836793,5.541798115,0.394736842,1.438439602,77,14,0.075457022,5.810190714,0.402597403,1.187259612,0.8,0.228571429,2.445714286,86,0.685714286,24,1.885714286,66,0.018078612,0.442307692,1.062087968,0.194804115,0.32,1.547128091,0.154077283,5.392704915,0.4,1.26775202,0.009940138,0.417485799,0.404761905,1.120971747,FALSE
2022-South Florida @ Houston,285374,2022-10-29T16:00:00.000Z,17.5,-17.5,-100,-120,2022-10-23T20:37:00.952Z,final,regular,2022,TRUE,FALSE,South Florida,AAC,Houston,AAC,West,TDECU Stadium,FALSE,Houston,TX,27,42,East,,,9,1515,,1163,,fbs,fbs,,63,12,0.548430632,34.55112979,0.53968254,1.346832286,0.833333333,0.117647059,3.611764706,123,1.411764706,48,0.941176471,32,0.435857706,0.571428571,1.116442624,0.942435871,0.428571429,2.421984046,0.35023318,11.90792812,0.470588235,1.037598012,0.780800057,22.64320167,0.620689655,1.621707197,62,10,0.143199447,8.878365731,0.403225806,1.35409091,1,0.083333333,3.40625,164,0.708333333,34,0.916666667,44,-0.094654815,0.444444444,0.876033421,0.77281367,0.294117647,3.266320866,0.139435907,6.692923523,0.4375,1.031080684,0.527979643,6.335755713,0.333333333,3.049894596,52,13.2,0.371805635,19.3415232,0.423405612,1.400884577,0.6,0.132545455,3.1782,94.2,1.013636364,29.4,1.159272727,35.2,0.304278378,0.451552795,1.242229888,0.541959717,0.352380952,1.946854988,0.069661158,3.01243035,0.392545455,0.750729206,0.695783265,16.32909285,0.446666667,2.050395743,80.8,13.4,0.331385877,26.95093058,0.485426357,1.257198989,0.85,0.167950311,3.278981366,141.6,1.073043478,45.4,1.844968944,81.6,0.300376322,0.529569892,1.199052136,0.44655569,0.366666667,1.510651914,0.341021241,14.91482301,0.49689441,1.172981732,0.357698374,12.86809043,0.48173913,1.366124065,TRUE
2022-Georgia Tech @ Florida State,285383,2022-10-29T16:00:00.000Z,20,-20,-110,-110,2022-10-23T20:10:45.979Z,final,regular,2022,TRUE,FALSE,Georgia Tech,ACC,Florida State,ACC,Atlantic,Doak Campbell Stadium,FALSE,Tallahassee,FL,16,41,Coastal,,,9,1557,,1268,,fbs,fbs,,76,11,0.19892679,15.11843603,0.473684211,1.271850624,0.8,0.21875,3.678125,118,2.03125,65,2.03125,65,0.159265109,0.543859649,1.073443415,0.317911833,0.263157895,2.501975319,0.546879153,17.50013291,0.59375,1.189383739,-0.054129474,-2.381696875,0.386363636,1.364019494,67,11,0.180674856,12.10521534,0.447761194,1.18772072,0.857142857,0.146341463,2.729268293,112,0.780487805,32,0.804878049,33,0.297147442,0.52173913,1.162466123,-0.074455571,0.285714286,1.288739108,0.090718598,3.719462502,0.414634146,0.95829654,0.322528955,8.385752833,0.5,1.487736956,72,13.8,-0.013567099,-0.976831147,0.352777778,1.003612813,1,0.087301587,3.325634921,105,1.167460317,37.4,0.750793651,23.6,-0.02858201,0.412570356,0.807710547,0.007611891,0.235483871,1.547007965,0.083766697,2.752548647,0.381746032,0.791022287,-0.071389616,-3.729379794,0.33030303,1.203435193,72.2,14,-0.064456448,-4.610456139,0.318005329,1.267509627,0.8,0.163333333,2.669,87.2,0.813333333,27.2,1.063333333,36.2,-0.149938942,0.364705882,1.066980867,0.086257285,0.22541806,1.958071367,0.009566324,-0.139861365,0.323333333,1.047370761,-0.072685683,-2.849029247,0.326644518,1.450439365,FALSE
2022-Ohio State @ Penn State,285385,2022-10-29T16:00:00.000Z,-15,15,-110,-110,2022-10-23T20:10:46.214Z,final,regular,2022,TRUE,TRUE,Ohio State,Big Ten,Penn State,Big Ten,East,Beaver Stadium,FALSE,University Park,PA,44,31,East,,,9,1815,,2234,,fbs,fbs,,64.6,13,0.339223652,22.79252894,0.439215686,1.431157629,0.92,0.167142857,3.005571429,97.2,1.12,36.8,1.487142857,43.8,0.222432003,0.466666667,1.192812527,0.649800335,0.366666667,2.22492099,0.202281489,6.420868033,0.425714286,1.105929686,0.496004177,16.37166091,0.452394917,1.74598461,69.4,12.4,0.102400706,7.648796315,0.374078972,1.348174118,0.555555556,0.22962963,2.875488215,134.2,1.132659933,52.8,0.876430976,44.6,0.184737193,0.465012616,1.161510615,0.01526814,0.227838828,2.126853774,0.125512228,6.605049143,0.391245791,1.013204966,0.047669805,1.043747173,0.339478261,2.065747809,62,16,0.295313831,18.30945752,0.5,1.022746611,0.571428571,0.2,3.003333333,90,0.633333333,19,0.1,3,0.379962881,0.56,0.994052134,-0.057390546,0.25,1.290561725,0.079559022,2.386770653,0.466666667,0.576333344,0.543384895,16.84493174,0.548387097,1.390381065,58,14,-0.140839937,-8.168716361,0.206896552,1.155392141,1,0.068965517,2.713793103,79,0.724137931,21,0.517241379,15,-0.138746599,0.303030303,0.970727465,-0.143603144,0.08,2.078715524,-0.004555573,-0.132111625,0.206896552,1.158490582,-0.246004862,-6.396126414,0.230769231,1.152293701,FALSE
2022-Notre Dame @ Syracuse,285389,2022-10-29T16:00:00.000Z,1.5,-1.5,-105,-115,2022-10-23T20:10:46.149Z,final,regular,2022,FALSE,FALSE,Notre Dame,Independent,Syracuse,ACC,Atlantic,JMA Wireless Dome,FALSE,Syracuse,,41,24,,,,9,1539,,1811,,fbs,fbs,,54,12,0.070177599,3.789590334,0.425925926,1.222974817,0,0.173913043,3.447826087,79,1.869565217,43,1.739130435,40,-0.157312373,0.447368421,0.903431521,0.610466282,0.375,2.128347487,0.292918829,6.737133067,0.52173913,1.066828247,-0.095082024,-2.947542733,0.35483871,1.393316529,84,12,0.014570681,1.223937233,0.476190476,1.079160671,0.727272727,0.087719298,3.536842105,202,1.280701754,73,2.596491228,148,0.043691492,0.52238806,0.977903566,-0.100199571,0.294117647,1.787960406,0.040734201,2.321849442,0.526315789,0.986269787,-0.040663415,-1.097912209,0.37037037,1.357833325,74,15,0.130716176,9.672997047,0.5,0.885454636,0.9,0.086956522,3.706521739,171,0.891304348,41,0.5,23,0.175770796,0.568965517,0.766719746,-0.032606821,0.25,1.865017479,0.20989336,9.655094582,0.586956522,0.622152593,0.135165812,3.649476931,0.37037037,1.596370153,58,15,0.136333568,7.907346934,0.275862069,1.681191927,0.8,0.25,2.425,58,0.958333333,23,4.333333333,104,0.13533756,0.324324324,1.660777887,0.138088438,0.19047619,1.742434045,0.458441119,11.00258685,0.416666667,1.788116072,-0.091036468,-3.095239913,0.176470588,1.502985017,TRUE
2022-TCU @ West Virginia,285390,2022-10-29T16:00:00.000Z,-6.5,6.5,-120,-105,2022-10-23T20:10:45.700Z,final,regular,2022,TRUE,TRUE,TCU,Big 12,West Virginia,Big 12,,Milan Puskar Stadium,FALSE,Morgantown,WV,41,31,,,,9,1468,,1635,,fbs,fbs,,61,11,0.047654671,2.906934958,0.37704918,1.1857239,1,0.217391304,2.843478261,65,1.043478261,24,0.391304348,9,0.090175324,0.425,1.195775678,-0.033337048,0.285714286,1.157243865,0.088763576,2.041562237,0.434782609,0.97303975,0.161095039,5.638326368,0.371428571,1.349327093,98,12,0.317590861,31.1239044,0.448979592,1.376885719,0.909090909,0.183673469,3.13877551,154,1.040816327,51,1.020408163,50,0.200152992,0.5,1.14216912,0.559806467,0.34375,2.081035517,0.275070607,13.47845972,0.428571429,1.174563011,0.360111116,17.64544467,0.469387755,1.561615148,82,12,0.24083201,19.74822482,0.402439024,1.572926793,0.6,0.134615385,3.161538462,164,0.730769231,38,0.807692308,42,0.187808874,0.471698113,1.193069612,0.337736361,0.275862069,2.759980482,0.111606041,5.803514113,0.384615385,1.04916663,0.46482369,13.94471071,0.433333333,2.378711659,53,12,0.374007308,19.82238734,0.377358491,2.026885023,0.5,0.333333333,2.46,74,1.1,33,2.066666667,62,0.199763688,0.382352941,1.614602385,0.685811681,0.368421053,2.79255278,0.012426017,0.37278052,0.3,1.516827616,0.845635079,19.44960682,0.47826087,2.44420472,TRUE
2022-Oklahoma @ Iowa State,285395,2022-10-29T16:00:00.000Z,-1.5,1.5,-115,-105,2022-10-23T20:10:45.638Z,final,regular,2022,TRUE,TRUE,Oklahoma,Big 12,Iowa State,Big 12,,Jack Trice Stadium,FALSE,Ames,IA,27,13,,,,9,1769,,1597,,fbs,fbs,,62.6,10.2,0.205309988,12.95462931,0.370335675,1.439705064,0.466666667,0.168531469,2.555734266,64,0.69020979,17.4,0.185314685,4.2,0.157380491,0.396741855,1.119499015,0.278771688,0.319578947,2.117038573,-0.059926711,-1.576486027,0.257342657,0.875020366,0.393722737,14.53111533,0.450727651,1.651342267,66.6,10.2,0.194489787,13.14140082,0.4935164,0.987602091,0.653333333,0.170232558,2.906950166,120,1.105913621,46,0.636677741,26.6,0.193684961,0.596,0.82597694,0.201132614,0.221754386,2.071419534,0.051014837,2.305265095,0.489302326,0.539989145,0.429436986,10.83613572,0.5,1.711279934,27,11,0.732258635,19.77098316,0.555555556,1.812142855,0.5,0.272727273,2.690909091,30,1.090909091,12,3.909090909,43,0.556731413,0.571428571,1.58060684,1.346603914,0.5,2.738286916,1.1362309,12.4985399,0.545454545,2.416158546,0.715277057,10.72915585,0.6,1.409465728,11,10,1.187609148,13.06370062,0.636363636,2.504236927,1,0,4.25,17,1.25,5,0.25,1,0.924768146,0.8,1.976087632,1.406643316,0.5,3.208435986,1.34623495,5.384939801,0.75,1.787193403,2.272518088,11.36259044,0.8,3.04201957,TRUE
2022-Arkansas @ Auburn,285405,2022-10-29T16:00:00.000Z,-3.5,3.5,-105,-115,2022-10-23T20:37:00.676Z,final,regular,2022,TRUE,TRUE,Arkansas,SEC,Auburn,SEC,West,Jordan-Hare Stadium,FALSE,Auburn,AL,41,27,West,,,9,1503,,1577,,fbs,fbs,,64.4,12.4,0.267538403,17.31953454,0.353449132,1.731304948,0.733333333,0.148333333,2.762111111,114.2,1.303333333,54.8,2.695555556,119.2,-0.048091852,0.328571429,1.233977813,0.75894678,0.396444444,2.432329901,0.266729534,11.67335447,0.403333333,1.370792508,0.256737973,5.646180079,0.282105263,2.583095145,84.6,13.2,0.319228759,26.97931959,0.528681178,1.200061905,0.806349206,0.120433437,3.540526316,217.8,1.360371517,82.4,2.152941176,128.4,0.249639956,0.545816073,1.066999748,0.636659457,0.483529412,1.76902599,0.32708424,19.14670925,0.574613003,1.057510093,0.377305587,7.832610337,0.404848485,1.88949897,81,11,0.532665985,43.14594482,0.555555556,1.416380796,0.444444444,0.170731707,3.756097561,154,1.390243902,57,2.341463415,96,0.333005933,0.55,1.176152789,1.103123278,0.571428571,2.077007814,0.161488968,6.621047691,0.512195122,0.903299285,0.913122428,36.52489713,0.6,1.865327117,69,12,0.37390806,25.79965615,0.492753623,1.415067608,1,0.2,3.19,96,1.133333333,34,0.566666667,17,0.292691324,0.553191489,1.173642421,0.547416543,0.363636364,2.199699465,0.250701997,7.52105991,0.533333333,0.932375934,0.468681955,18.27859624,0.461538462,1.844126873,TRUE
2022-Boston College @ Connecticut,285406,2022-10-29T16:00:00.000Z,-9.5,9.5,-120,-100,2022-10-23T19:52:33.387Z,final,regular,2022,FALSE,FALSE,Boston College,ACC,Connecticut,Independent,,Pratt & Whitney Stadium at Rentschler Field,FALSE,East Hartford,CT,3,13,Atlantic,,,9,1074,,1341,,fbs,fbs,,62,13,0.272876027,16.9183137,0.419354839,1.233996726,0.6,0.083333333,3.813888889,137,1.416666667,51,1.444444444,52,0.350654209,0.511111111,1.148808606,0.066992605,0.176470588,1.887105643,0.317120878,11.4163516,0.5,1.077626315,0.278926555,6.973163883,0.32,1.585830152,81,13,0.107320615,8.692969791,0.419753086,0.99785847,0.857142857,0.047619048,3.516666667,148,1.119047619,47,0.833333333,35,0.075151887,0.456140351,0.865628745,0.183721343,0.333333333,1.427605078,0.330309971,13.8730188,0.523809524,0.962861399,-0.068858361,-2.616617728,0.315789474,1.062019767,68,13,0.073948183,5.028476448,0.367647059,1.380211757,1,0.333333333,1.719047619,36,1.095238095,23,0.952380952,20,-0.271234929,0.380952381,0.633621649,0.631551673,0.346153846,2.707483062,0.05116849,1.0745383,0.428571429,1.149048176,0.084126344,3.953938148,0.340425532,1.510241272,74,12,0.343735351,25.436416,0.445945946,1.517407369,1,0.21875,2.34375,75,0.78125,25,1.09375,35,0.059312193,0.4,1.153231909,0.785081632,0.517241379,1.95441792,-0.056615338,-1.811690812,0.34375,0.9580618,0.719297712,29.49120621,0.536585366,1.797080153,FALSE
